Trial,Distance_KM,Dijkstra_Visited,AStar_Visited,Efficiency_Gain_Percent,Time_AStar_MS
794,16.907,45285,5950,86.861,5.3151
795,6.21529,10855,932,91.4141,0.7735
796,2.12677,2335,97,95.8458,0.0793
797,74.2398,296020,134372,54.6071,167.517
798,5.83083,32057,3548,88.9322,4.4812
799,17.1406,153883,31338,79.6352,51.5124
800,53.6835,297231,157392,47.0472,218.333
801,23.7698,231701,61809,73.3238,100.352
802,30.8398,253136,18132,92.8371,18.4741
803,28.5481,253451,59879,76.3745,113.941
804,38.2329,198404,61732,68.8857,77.2199
805,10.0058,69040,6301,90.8734,6.7381
806,19.567,92147,17313,81.2115,16.6023
807,30.9805,221074,46037,79.1758,53.5467
808,12.3702,125762,15937,87.3277,15.5813
809,6.65371,31794,4666,85.3243,5.735
810,45.0765,295591,81636,72.3821,162.797
811,27.3379,246391,53476,78.2963,64.0187
812,11.5569,49313,8283,83.2032,8.1632
813,51.3966,188593,40169,78.7007,47.3354
814,26.7136,58050,10744,81.4918,10.4309
815,7.13237,63651,3738,94.1274,10.0361
816,26.9608,253146,54718,78.3848,61.7935
817,27.8167,235520,72619,69.1665,142.029
818,8.3221,46949,6064,87.0839,8.6061
819,4.73181,14831,1454,90.1962,1.2629
820,14.9568,11001,1641,85.0832,1.2995
821,36.3118,36799,2057,94.4102,1.9836
822,22.6618,135280,50643,62.5643,55.4986
823,25.2796,231066,16425,92.8916,13.8599
824,57.2952,283869,145148,48.868,226.03
825,6.01232,41448,6396,84.5686,9.6326
826,15.5833,22452,1672,92.553,2.4271
827,11.1397,115366,18386,84.0629,34.3906
828,29.2374,165349,24346,85.276,39.3463
829,23.7039,196003,65983,66.3357,113.884
830,43.7675,114878,16067,86.0139,19.824
831,14.3685,79199,13879,82.4758,15.2174
832,40.7722,133508,28963,78.3062,35.2785
833,1.42185,3228,326,89.9009,0.2948
834,15.4451,119010,20496,82.7779,28.5563
835,47.4055,152284,35665,76.5799,95.1256
836,8.99274,43083,12498,70.9909,21.1471
837,26.9176,195545,16362,91.6326,19.3077
838,56.8077,203619,20851,89.7598,27.1167
839,50.8602,310976,167362,46.1817,402.258
840,4.56321,19234,1647,91.437,3.5321
841,6.41835,33872,3786,88.8226,7.4499
842,20.6157,209364,50526,75.8669,75.5591
843,9.71938,53533,8994,83.1991,11.2808
844,48.8991,169384,52787,68.8359,72.177
845,51.4976,167971,53581,68.101,86.5809
846,37.6121,229535,59226,74.1974,150.293
847,37.8727,273764,112198,59.0165,139.165
848,32.6584,264803,91522,65.4377,129.575
849,10.3248,41327,1649,96.0099,1.5468
850,27.6743,36881,7245,80.3557,15.6696
851,25.0045,183068,60379,67.0183,137.613
852,15.0552,120377,19878,83.4869,49.0985
